,dataset,max_time_mins,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
VarianceThreshold,3,5,0.011167759164845836,0.011978438810141745,0.023994308627603156,0.025318421870146008,0.0104078524284989,0.013307504421797355,0.01825531360020863,0.005506607929515419
StandardScaler,3,5,0.016225621105446307,0.010248219870899048,0.016880093131548313,0.012503883193538366,0.022000338466745643,0.01987703192116567,0.02790455078889034,0.011196769456681351
PolynomialFeatures,3,5,0.009508780448328882,0.021494642975976575,0.022054068037770016,0.030444237340789066,0.0312235572854967,0.020803503747999663,0.024905463554570347,0.029552129221732747
ZeroCount,3,5,0.015092660030751801,0.015438876688627139,0.021666019919803388,0.01374650512581547,0.016246403790827552,0.02046660490187821,0.016690572434476462,0.014684287812041116
DecisionTreeClassifier,3,5,0.1809096058913976,0.12930059226725227,0.07107748027422067,0.04613233923578751,0.059400913860213234,0.03731154720795081,0.06819663580649367,0.05892070484581498
FastICA,3,5,0.009306465970704864,0.007320157050642178,0.007372914241365929,0.00893134513824169,0.008715518700287696,0.007748673460793397,0.009258051897248664,0.013950073421439061
SGDClassifier,3,5,0.04329529821154002,0.03620150395953949,0.02761609106195835,0.04760795278036657,0.06642409883228972,0.027036132401246527,0.03285956448037554,0.04405286343612335
FeatureAgglomeration,3,5,0.007566561463138302,0.005989219405070872,0.006726167378088216,0.005436470953712333,0.0045693010661702485,0.004885033268761055,0.004172643108619116,0.0034875183553597653
Binarizer,3,5,0.018289228777211296,0.014640314101284356,0.021924718665114473,0.01048462255358807,0.010830935860551701,0.009096268845279205,0.0069109401486504105,0.009361233480176211
LogisticRegression,3,5,0.012219794448490733,0.00811871963798496,0.03550640279394645,0.044035414725069895,0.014469453376205787,0.006653752210898678,0.016560177337332116,0.010829662261380322
PCA,3,5,0.04653232985352432,0.009982032341784788,0.015198551287026258,0.011882572227399813,0.011000169233372822,0.017855638844436958,0.011735558742991264,0.01762114537444934
Normalizer,3,5,0.013029052358986808,0.018167298862048313,0.011124046048376666,0.011028269648959305,0.013454053139279066,0.011875684325781184,0.010692397965836485,0.013950073421439061
OneHotEncoder,3,5,0.02326616492676216,0.025554002794969055,0.020954598370197905,0.02353215284249767,0.01556947029954307,0.02712035711277689,0.020211240057373844,0.022577092511013214
RobustScaler,3,5,0.02071700250869952,0.02422306514939775,0.020437200879575734,0.011571916744330538,0.018446437637502117,0.011875684325781184,0.018907289085930368,0.016152716593245228
RFE,3,5,0.021081168568422758,0.018034205097491183,0.019467080584659166,0.02019260639950295,0.018107970891859875,0.024593615766865997,0.018907289085930368,0.015234948604992658
RBFSampler,3,5,0.01088451889617221,0.0061888600519065685,0.006208769887466045,0.006446101273687481,0.006177018107970892,0.004885033268761055,0.00547659408006259,0.006791483113069016
CombineDFs,3,5,0.031601521404871734,0.012111532574698875,0.01131807010735998,0.014134824479652065,0.012100186156710104,0.004632359134169966,0.003129482331464337,0.008994126284875184
SelectPercentile,3,5,0.012381646030589949,0.013375923337991615,0.018302936230759282,0.01452314383348866,0.008377051954645456,0.01145456076812937,0.0099100273829704,0.008627019089574155
SelectFwe,3,5,0.0005260176418224489,0.0053902974645637855,0.0058853964558271896,0.004116185150667909,0.00516161787104417,0.008759369999157753,0.007562915634372148,0.009177679882525698
SelectFromModel,3,5,0.003763049283806749,0.0014640314101284355,0.002328288707799767,0.0008543025784405095,0.001607717041800643,0.0021056177882590754,0.0014343460685878212,0.0003671071953010279
total_operators,3,5,24714.0,15027.0,15462.0,12876.0,11818.0,11873.0,7669.0,5448.0
total_pipelines,3,5,12921.0,7191.0,7100.0,6104.0,5718.0,5480.0,3870.0,2907.0
